n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,2,unary::L2M::Table,read_unbuff,0.500239,6.296413545454546,0.025421641348912238,6.280017,6.30258,6.309665
1,2,gamma::M2L::NoTable,read_buff,0.750122,2.2712634545454544,0.04232560142600134,2.241691,2.270703,2.286837
1,2,gamma::M2L::NoTable,read_unbuff,0.750122,5.724063545454545,0.023705969772880624,5.704001,5.729286,5.734397
1,2,gamma::M2L::Table,read_buff,0.749914,4.839602090909092,0.12141281977901237,4.740291,4.796107,4.837961
1,2,gamma::M2L::Table,read_unbuff,0.749914,7.272891545454547,1.9265700933931451,6.678638,6.694268,6.699565
1,2,gamma::L2M::NoTable,read_buff,0.74949,2.094370272727273,0.046822414897335025,2.05694,2.102989,2.117381
1,2,gamma::L2M::NoTable,read_unbuff,0.74949,5.943644363636364,1.9180493334830193,5.356023,5.366492,5.370004
1,2,gamma::L2M::Table,read_buff,0.749532,5.2084243636363645,1.8354373505219006,4.613399,4.618644,4.661881
1,2,gamma::L2M::Table,read_unbuff,0.749532,6.702326727272727,1.8659776905140153,6.099642,6.13507,6.170444
1,2,zeta3::M2L::NoTable,read_buff,0,7.108206181818183,0.009704782963242153,7.098759,7.109436,7.110688
1,2,zeta3::M2L::NoTable,read_unbuff,0,9.540027818181816,1.9199417872985012,8.945401,8.961355,8.972028
1,2,zeta3::M2L::Table,read_buff,0,8.049444818181819,1.9287721233448407,7.444699,7.472881,7.494652
1,2,zeta3::M2L::Table,read_unbuff,0,9.542076272727273,0.02337153215384467,9.526078,9.531864,9.546375
1,2,zeta3::L2M::NoTable,read_buff,0,7.302237818181818,0.04357711428449154,7.272439,7.291927,7.333835
1,2,zeta3::L2M::NoTable,read_unbuff,0,8.999804363636363,1.9225091751594983,8.401348,8.416969,8.439623
1,2,zeta3::L2M::Table,read_buff,0,8.825796272727272,2.533920979102193,7.678583,7.68862,7.699189
1,2,zeta3::L2M::Table,read_unbuff,0,8.94803672727273,0.030512831730571666,8.92587,8.947976,8.955018
1,2,delta::M2L::Table,read_buff,0.279391,6.182234,1.926940837767522,5.587874,5.612854,5.61829
1,2,delta::M2L::Table,read_unbuff,0.279391,8.313408545454546,1.9331605711255524,7.72308,7.735903,7.746585
1,2,delta::M2L::NoTable,read_buff,0.279427,5.129227454545455,1.8348432451514414,4.557369,4.57717,4.593083
1,2,delta::M2L::NoTable,read_unbuff,0.279427,8.191868090909091,1.8424196176772791,7.623222,7.638045,7.647404
1,2,delta::L2M::Table,read_buff,0.279423,4.895063363636363,0.022059474514469938,4.884311,4.894762,4.909894
1,2,delta::L2M::Table,read_unbuff,0.279423,7.71323609090909,1.904002047297978,7.104556,7.151177,7.173217
1,2,delta::L2M::NoTable,read_buff,0.278843,3.9289793636363637,0.025496500611937947,3.908433,3.930564,3.941743
1,2,delta::L2M::NoTable,read_unbuff,0.278843,7.052659272727272,0.02147980844463423,7.035843,7.046917,7.066315
1,2,delta_gamma::M2L::Table,read_buff,0.279872,6.205594818181817,0.10356058766521004,6.118181,6.199977,6.212634
1,2,delta_gamma::M2L::Table,read_unbuff,0.279872,9.264481090909092,2.586445164602778,8.076127,8.112965,8.139281
1,2,delta_gamma::M2L::NoTable,read_buff,0.280033,7.621835363636364,2.56483570445599,6.365669,6.418405,6.579463
1,2,delta_gamma::M2L::NoTable,read_unbuff,0.280033,7.9368266363636355,0.034876064959432435,7.908313,7.947809,7.952539
1,2,delta_gamma::L2M::Table,read_buff,0.27983,6.402043727272727,1.9121560729176943,5.76598,5.836713,5.856082
1,2,delta_gamma::L2M::Table,read_unbuff,0.27983,7.433809636363636,0.028061838992741384,7.419539,7.441509,7.442601
1,2,delta_gamma::L2M::NoTable,read_buff,0.279356,6.727830363636364,1.8145890197183643,6.091308,6.175051,6.186182
1,2,delta_gamma::L2M::NoTable,read_unbuff,0.279356,7.308747545454546,0.020849667452329496,7.282113,7.309403,7.31136
2,1,unary::M2L::NoTable,read_buff,0.750024,1.6100521818181819,0.017193632291160506,1.595718,1.607446,1.61416
